kommunkod,kommun,M,C,FP,KD,MP,S,V,SD,ovr,ogiltiga,ej_rost,totalt
2403,Bjurholm,338,194,89,98,28,597,79,162,22,9,302,1918
2404,Vindeln,546,392,131,214,108,1422,281,345,124,23,632,4218
2409,Robertsfors,502,756,130,207,154,1907,403,307,141,36,751,5294
2417,Norsjö,227,219,95,130,33,1323,323,255,29,32,545,3211
2418,Malå,177,96,94,62,47,1041,266,218,49,21,414,2485
2421,Storuman,510,365,155,254,117,1567,397,450,66,52,902,4835
2422,Sorsele,175,149,26,92,47,612,209,204,34,31,407,1986
2425,Dorotea,129,204,124,50,30,921,200,179,35,22,317,2211
2460,Vännäs,717,594,189,263,241,2228,688,475,199,43,924,6561
2462,Vilhelmina,400,355,115,244,112,2032,488,562,120,67,831,5326
2463,Åsele,221,201,98,65,36,848,172,207,45,25,340,2258
2480,Umeå,13248,4449,3960,3069,6521,29032,9907,4539,5583,647,10336,91291
2481,Lycksele,1127,327,297,575,185,3667,824,834,135,71,1591,9633
2482,Skellefteå,5210,2832,1865,1940,2575,24468,4552,3809,1528,525,7544,56848
2505,Arvidsjaur,439,270,133,77,71,2255,440,565,76,42,770,5138
2506,Arjeplog,182,127,61,64,64,818,222,273,40,31,462,2344
2510,Jokkmokk,299,80,105,44,312,1597,320,421,118,25,743,4064
2513,Överkalix,194,211,42,27,52,1250,250,310,46,20,410,2812
2514,Kalix,1267,520,268,231,449,6113,692,1262,177,94,1911,12984
2518,Övertorneå,291,302,59,98,76,1289,275,301,42,16,667,3416
2521,Pajala,383,133,63,212,92,1859,722,457,103,32,960,5016
2523,Gällivare,1311,213,174,273,503,6117,1407,1843,267,85,2635,14828
2560,Älvsbyn,441,330,144,171,117,2895,500,692,126,30,966,6412
2580,Luleå,8226,2380,2281,1664,3431,23092,3856,4567,2185,364,7346,59392
2581,Piteå,3389,1449,855,1024,1351,15655,2340,2218,922,210,3724,33137
2582,Boden,2903,694,769,537,688,8779,1254,2770,496,138,2967,21995
2583,Haparanda,573,363,76,118,126,2175,209,582,101,25,1829,6177
2584,Kiruna,1540,441,339,508,779,7090,1738,1976,553,157,2812,17933
